"ds_anon_user_id","module","meantimeToQuiz","nsessions","ndays","npages","nactivities","timeInModule","endToQuiz","meanSessionDiff","quizGrade","pretestGrade","examGrade","Nwords","Nactivities","Npages","crammers"
"Stu_0171e0a870a909018b1aa7590b3b75f5",11,4816.79814814815,1,1,3,9,65.7,4787.86666666667,3467,7,8,22,3043,9,2,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",1,8.93333333333333,1,1,3,0,1.96666666666667,7.7,NA,7,9,31,18754,79,27,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",2,80.9948183760684,1,1,26,57,196.283333333333,5.66666666666667,155648.333333333,10,9,31,9546,74,25,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",3,132.914807692308,2,3,101,71,4079.75,2.48333333333333,158126.111111111,8,9,31,12785,74,26,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",4,87.0622489959839,1,1,20,63,156.716666666667,16.9166666666667,63461.5,10,9,31,9638,63,3,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",5,7171.90396505376,5,4,36,29,5098.58333333333,57.6666666666667,116910.833333333,9,9,31,14163,29,18,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",6,902.12609223301,4,3,40,72,749,2079.55,227692.111111111,10,9,31,17373,80,20,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",7,763.480392156863,4,2,47,72,1429.73333333333,2.63333333333333,81867.7142857143,10,9,31,15293,74,10,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",8,149.079565217391,2,1,20,39,336.55,0.483333333333333,128202.777777778,9,9,31,11582,39,10,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",9,101.725982905983,2,1,27,33,416.066666666667,2.75,10191.1428571429,9,9,31,12430,37,14,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",10,4851.82225806452,5,4,34,51,11360.7,0.183333333333333,385255.222222222,8,9,31,14635,56,18,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",11,1368.83236714976,3,2,6,9,1605.41666666667,11.5833333333333,50689.3333333333,8,9,31,3043,9,2,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",1,3663.9774952919,5,4,93,79,5712.96666666667,13.9833333333333,86894.7777777778,8,10,28,18754,79,27,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",2,2169.04741306192,4,4,29,74,2883.49166666667,35.1083333333333,68122.8,10,10,28,9546,74,25,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",3,6178.59899348727,6,5,64,74,2165.29166666667,8534.875,64317.25,7,10,28,12785,74,26,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",4,3523.37769726248,3,3,21,40,4730.28333333333,44.3666666666667,216825.666666667,10,10,28,9638,63,3,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",5,4383.40459533608,3,3,20,29,2273.25,3442.53333333333,167857.142857143,7,10,28,14163,29,18,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",6,1063.72522012579,2,2,27,49,1497.16666666667,1.13333333333333,23376.75,10,10,28,17373,80,20,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",7,5672.20449921753,3,4,29,62,8786.5,9.51666666666667,197630.75,8,10,28,15293,74,10,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",8,10.5738095238095,1,1,1,1,1.36666666666667,10,240327.2,7,10,28,11582,39,10,"Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",9,35.8946666666667,1,1,9,11,40.8166666666667,9.93333333333333,1596.5,8,10,28,12430,37,14,"Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",10,3.03695652173913,1,1,2,3,4.08333333333333,2.06666666666667,138345,8,10,28,14635,56,18,"Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",11,5826.09507575758,1,1,3,9,16.3,5818.51666666667,457,8,10,28,3043,9,2,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",1,31.1398365316276,2,2,31,64,4034.56666666667,4.23333333333333,685725.333333333,9,8,17,18754,79,27,"Non-Crammer"
"Stu_01b34612fde00a97755839580e9be475",3,28.5410806174957,1,1,31,55,50.6333333333333,0.0333333333333333,337576.5,10,8,17,12785,74,26,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",4,16.9928571428571,1,1,13,7,18.9833333333333,6.93333333333333,23744,8,8,17,9638,63,3,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",5,60.4494505494505,1,1,19,8,23.8166666666667,46.1,902036.5,10,8,17,14163,29,18,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",7,18.5797333333333,1,1,8,17,21.15,6.5,63,9,8,17,15293,74,10,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",6,13.54921875,1,1,10,21,30.6166666666667,0.466666666666667,1293,7,8,17,17373,80,20,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",8,216.11106870229,1,1,14,39,32.3666666666667,198.05,523520,7,8,17,11582,39,10,"Crammer"
"Stu_01b34612fde00a97755839580e9be475",11,1463.4275,2,2,4,2,29158.2666666667,5.2,915423,10,8,17,3043,9,2,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",1,5773.56567049808,2,2,25,78,5871.8,155.883333333333,324702.8,10,9,27,18754,79,27,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",2,1511.12418645558,2,1,14,74,366.5,1446.35,6445.5,10,9,27,9546,74,25,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",3,5906.44510556622,3,2,29,74,984.75,5133.35,19550,7,9,27,12785,74,26,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",4,1792.03231707317,3,2,11,63,888.65,1395.91666666667,263119.666666667,9,9,27,9638,63,3,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",5,5092.81038863976,2,2,12,29,741.816666666667,4793.41666666667,207293,8,9,27,14163,29,18,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",6,66.5341696535245,2,2,13,45,6747.71666666667,11.0166666666667,521527.333333333,10,9,27,17373,80,20,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",7,283.241440568475,2,1,26,74,330.016666666667,19.7666666666667,8807.25,8,9,27,15293,74,10,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",8,5497.59527896996,1,1,14,39,86.9333333333333,5470.38333333333,181892,9,9,27,11582,39,10,"Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",9,393.40537037037,1,1,9,37,26.5166666666667,382.483333333333,920779,9,9,27,12430,37,14,"Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",10,1247.81313291139,2,1,11,56,133.15,1204.08333333333,183254.666666667,9,9,27,14635,56,18,"Non-Crammer"
"Stu_01e761f772b94919877acdec9ee72ba1",11,4655.73544600939,1,1,3,9,10.75,4651.96666666667,552,10,9,27,3043,9,2,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",3,4.00185185185185,1,1,4,1,2.08333333333333,3.38333333333333,48,6,11,26,12785,74,26,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",10,1498.3625,2,2,9,4,13.8833333333333,26096.4916666667,2415.5,10,11,26,14635,56,18,"Non-Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",4,19.9368421052632,1,1,19,0,55.2,1.11666666666667,181052.5,8,11,26,9638,63,3,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",5,62.4064516129032,1,1,13,3,111.316666666667,3.28333333333333,273.5,8,11,26,14163,29,18,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",6,3.85,1,1,5,0,5.75,0.766666666666667,134290.666666667,8,11,26,17373,80,20,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",7,10.8515151515152,1,1,11,0,22.1833333333333,0.416666666666667,72,8,11,26,15293,74,10,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",8,34.15,1,1,8,0,15.0833333333333,26.9333333333333,39,10,11,26,11582,39,10,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",9,12.3166666666667,1,1,6,2,7.78333333333333,6.8,748226,8,11,26,12430,37,14,"Crammer"
"Stu_024f2f9799abe6999619dda7a4f09058",11,30648.0722222222,2,2,3,0,6961.7,26007.2166666667,208914,10,11,26,3043,9,2,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",1,3965.12514556041,12,6,60,78,2059.86111111111,1153.30555555556,60670.4782608696,10,14,29,18754,79,27,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",2,7709.88046811945,9,5,49,74,517.170833333333,6950.95833333333,9056.88235294118,10,14,29,9546,74,25,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",3,10188.9189265537,13,8,102,74,5026.75,5373.15,39068.0416666667,10,14,29,12785,74,26,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",11,74807.4762745098,7,6,17,9,2244.49166666667,38154.9166666667,46808,10,14,29,3043,9,2,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",4,17353.938904627,8,7,41,63,1244.05416666667,9660.3625,36607.4705882353,9,14,29,9638,63,3,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",5,15389.0201722017,14,9,60,29,2025.09583333333,18377.0708333333,44740.1578947368,10,14,29,14163,29,18,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",6,18010.2643468951,8,7,64,80,517.496666666667,16756.4266666667,115501.045454545,10,14,29,17373,80,20,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",7,16400.4123499142,7,6,86,74,691.058333333333,17700.3333333333,49336.9230769231,9,14,29,15293,74,10,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",8,10665.3188112745,10,9,62,39,1206.54444444444,19450.7027777778,56726.9230769231,8,14,29,11582,39,10,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",9,30558.9282178218,7,6,36,37,935.858333333333,35335.4958333333,28049.75,10,14,29,12430,37,14,"Non-Crammer"
"Stu_02b1766bdfcb278e7ca6007bf819b8f0",10,14678.3855525362,6,6,40,56,3368.525,8211.21666666667,263303.615384615,10,14,29,14635,56,18,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",1,3132.49043778802,6,4,28,79,6111.76666666667,2.68333333333333,72625.2,8,13,27,18754,79,27,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",2,2733.87352150538,7,4,23,74,8084.15,14.7833333333333,82077.4285714286,9,13,27,9546,74,25,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",3,4999.91688938382,8,6,37,74,6479.76666666667,5829.39166666667,97498.125,9,13,27,12785,74,26,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",5,3712.7841781874,5,4,17,29,5166.35,14233.6666666667,129506.8,7,13,27,14163,29,18,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",4,707.690611814346,3,3,12,63,2260.4,259.166666666667,136517,8,13,27,9638,63,3,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",6,3496.85604217356,3,2,21,79,4584.38333333333,1134.53333333333,176830,10,13,27,17373,80,20,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",7,2786.70482804233,5,4,41,74,4343.66666666667,926.166666666667,123921.4,9,13,27,15293,74,10,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",8,4655.64696969697,3,3,17,39,10033.7166666667,12.4,251056.333333333,7,13,27,11582,39,10,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",9,4194.83914285714,5,5,16,37,12197.9333333333,15.25,186253.8,10,13,27,12430,37,14,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",10,2376.06362318841,6,4,18,44,6722.03333333333,39.4666666666667,64156.5714285714,10,13,27,14635,56,18,"Non-Crammer"
"Stu_04440e9ecbac7d862a07c916c5b44b43",11,4145.01864035088,4,3,12,9,3308.96666666667,3814.7,49786.25,9,13,27,3043,9,2,"Non-Crammer"
"Stu_04604d81d0a2c67a493869ee1fdf6be6",1,79675.9153846154,2,2,13,0,2149.75,78684,288766.666666667,6,16,24,18754,79,27,"Non-Crammer"
"Stu_04604d81d0a2c67a493869ee1fdf6be6",6,3600.44432624113,3,3,16,8,8507,8.71666666666667,70009.7058823529,8,16,24,17373,80,20,"Non-Crammer"
"Stu_04604d81d0a2c67a493869ee1fdf6be6",7,9304.24960505529,2,2,24,28,2587.93333333333,7561.03333333333,56883.3333333333,7,16,24,15293,74,10,"Non-Crammer"
"Stu_04604d81d0a2c67a493869ee1fdf6be6",8,2592.55577557756,3,3,28,10,4059.6,4.26666666666667,51345.4,5,16,24,11582,39,10,"Non-Crammer"
"Stu_04604d81d0a2c67a493869ee1fdf6be6",9,11904.5533333333,2,2,10,0,1569.01666666667,11275.9666666667,51845.5,5,16,24,12430,37,14,"Non-Crammer"
